"May 18, 2015 at 09:16AM",TronicsZone - Electronic Design & PCB Design,http://www.linkedin.com/company/622260,"Bengaluru Area, India",IN,"Computer Software, Design",Visual Basic Developer,"VB.net &amp; SQL based application software development. Rapid development of a desktop based windows application based on VB.net &amp; database (MS access, MS SQL etc). Testing &amp; debugging to ensure the application meets all requirements. Initial period of engagement will be about 4-6 weeks and there will be continued requirement in future for support, improvements, changes &amp; additions. ...",https://www.linkedin.com/jobs?viewJob=&jobId=49852107&trk=api*a130653*s139051*,No salary provided
"May 05, 2015 at 09:53AM",Recruit.net,http://www.linkedin.com/company/2590402,"Bengaluru Area, India",IN,Internet,Linux Systems Engineer,"** This job is based in Hong Kong - come work in one of the most exciting cities in the world ** We are hiring a DevOps / Linux Systems Engineer to join our team in Hong Kong   We're seeking an experienced DevOps Engineer. Strong existing technical skills, versatility, and the ability (and willingness) to learn new technologies is essential.   Responsibilities   Be responsible for our systems infr...",https://www.linkedin.com/jobs?viewJob=&jobId=60938352&trk=api*a130653*s139051*,No salary provided
"May 08, 2015 at 05:58AM","MediaMelon, Inc.",http://www.linkedin.com/company/266700,"Bengaluru Area, India",IN,"Internet, Online Media, Computer Software",Principal Technical Architect - Video Streaming,"Product design and development, own the product specifications, design and architecture. Ability to quickly prototype ideas into demonstrations Drive development process to build great quality products. Understand and clearly communicate the design rationale and the value of the product to customers. Build product roadmap features and prioritize based on benefits delivered by those features. Creat...",https://www.linkedin.com/jobs?viewJob=&jobId=61425416&trk=api*a130653*s139051*,No salary provided
"May 04, 2015 at 02:13PM",A.Criton,http://www.linkedin.com/company/9344227,"Bengaluru Area, India",IN,Apparel & Fashion,Sales Manager - Fashion,"Beyond and before anything else, please note this is a fashion industry position and a strong background in fashion is an absolute must.   This position will deal with all sales and consumer interaction for all our products. Responsibilities include: Create links with and pitch products to fashion buyers and retail outlets. Propose and implement innovative sales strategies. Identify key selling pl...",https://www.linkedin.com/jobs?viewJob=&jobId=60846503&trk=api*a130653*s139051*,No salary provided
"May 18, 2015 at 09:16AM",TronicsZone - Electronic Design & PCB Design,http://www.linkedin.com/company/622260,"Bengaluru Area, India",IN,"Computer Software, Design",Visual Basic Developer,"VB.net &amp; SQL based application software development. Rapid development of a desktop based windows application based on VB.net &amp; database (MS access, MS SQL etc). Testing &amp; debugging to ensure the application meets all requirements. Initial period of engagement will be about 4-6 weeks and there will be continued requirement in future for support, improvements, changes &amp; additions. ...",https://www.linkedin.com/jobs?viewJob=&jobId=49852107&trk=api*a130653*s139051*,No salary provided
"May 05, 2015 at 09:53AM",Recruit.net,http://www.linkedin.com/company/2590402,"Bengaluru Area, India",IN,Internet,Linux Systems Engineer,"** This job is based in Hong Kong - come work in one of the most exciting cities in the world ** We are hiring a DevOps / Linux Systems Engineer to join our team in Hong Kong   We're seeking an experienced DevOps Engineer. Strong existing technical skills, versatility, and the ability (and willingness) to learn new technologies is essential.   Responsibilities   Be responsible for our systems infr...",https://www.linkedin.com/jobs?viewJob=&jobId=60938352&trk=api*a130653*s139051*,No salary provided
"May 08, 2015 at 05:58AM","MediaMelon, Inc.",http://www.linkedin.com/company/266700,"Bengaluru Area, India",IN,"Internet, Online Media, Computer Software",Principal Technical Architect - Video Streaming,"Product design and development, own the product specifications, design and architecture. Ability to quickly prototype ideas into demonstrations Drive development process to build great quality products. Understand and clearly communicate the design rationale and the value of the product to customers. Build product roadmap features and prioritize based on benefits delivered by those features. Creat...",https://www.linkedin.com/jobs?viewJob=&jobId=61425416&trk=api*a130653*s139051*,No salary provided
"May 13, 2015 at 03:37PM",Alchemy Infotech,http://www.linkedin.com/company/2681677,"Bengaluru Area, India",IN,Civil Engineering,Principal GeotechnicalEngineer - Civil & Tunnels,Interpretations of Geotechnical Investigation Reports and use of appropriate geotechnical/geological design parameters Soil Structural Interaction Analysis Modeling and Validation Support system Design of Tunnels/ Underground Caverns Slope Stability Analysis and Support Systems Design Settlement Prediction and Risk Assessments for Urban Structures Instrumentation and Monitoring Scheme Proposals an...,https://www.linkedin.com/jobs?viewJob=&jobId=62145211&trk=api*a130653*s139051*,No salary provided
"May 14, 2015 at 06:58PM",Media Moments,http://www.linkedin.com/company/2384602,"Bengaluru Area, India",IN,"Marketing and Advertising, Design",Brand Manager - Design (Bangalore),"The Brand Manager - Design position, Bangalore-based, is in charge of creating compelling visual content for social media channels for brands. The person will work with internal teams to brainstorm, create content and help manage a creative editorial process. The role requires to show creative competency and understanding in a wide range of skills sets: marketing art design, creative web design il...",https://www.linkedin.com/jobs?viewJob=&jobId=48990685&trk=api*a130653*s139051*,No salary provided
"May 15, 2015 at 10:03AM",Bhanu Soft Tech Pvt. Ltd. (BhanuSoft),http://www.linkedin.com/company/3812140,"Bengaluru Area, India",IN,Information Services,UI Developer,Point of Contact for CV’s / Email ID: Smitha - smitha.w@multirecruit.com - 9972696633.   Job Title / Designation: UI Developer Key Functions &amp; Roles of the Candidate: Ability to distill product requirements into functional requirements Coming up with a project plan and meeting set forth deadlines and milestones   Specific Skill Set:             In depth knowledge in PHP Expert knowledge about...,https://www.linkedin.com/jobs?viewJob=&jobId=62541939&trk=api*a130653*s139051*,No salary provided
"April 27, 2015 at 12:44PM",Fullerene Solutions,http://www.linkedin.com/company/1882347,"Bengaluru Area, India",IN,"Internet, Consumer Services, E-Learning",Full Stack Developer -CTO,"Introduction We are two IIT-Delhi graduates ( 2011 batch) looking to bring in a Technical Co-Founder to join us in our startup- eStudyCorner, iWantTutor, a QnA, Course, Research, Analytics and Tutorinrg Platform. The product ( Version -1 ) is ready, and is currently being used by 1000 students in Public Beta. It generates revenue as well.  What stage are we in ? The product - ( version 1) has been...",https://www.linkedin.com/jobs?viewJob=&jobId=46342739&trk=api*a130653*s139051*,No salary provided
"May 13, 2015 at 03:37PM",Alchemy Infotech,http://www.linkedin.com/company/2681677,"Bengaluru Area, India",IN,Civil Engineering,Principal GeotechnicalEngineer - Civil & Tunnels,Interpretations of Geotechnical Investigation Reports and use of appropriate geotechnical/geological design parameters Soil Structural Interaction Analysis Modeling and Validation Support system Design of Tunnels/ Underground Caverns Slope Stability Analysis and Support Systems Design Settlement Prediction and Risk Assessments for Urban Structures Instrumentation and Monitoring Scheme Proposals an...,https://www.linkedin.com/jobs?viewJob=&jobId=62145211&trk=api*a130653*s139051*,No salary provided
"May 14, 2015 at 06:58PM",Media Moments,http://www.linkedin.com/company/2384602,"Bengaluru Area, India",IN,"Marketing and Advertising, Design",Brand Manager - Design (Bangalore),"The Brand Manager - Design position, Bangalore-based, is in charge of creating compelling visual content for social media channels for brands. The person will work with internal teams to brainstorm, create content and help manage a creative editorial process. The role requires to show creative competency and understanding in a wide range of skills sets: marketing art design, creative web design il...",https://www.linkedin.com/jobs?viewJob=&jobId=48990685&trk=api*a130653*s139051*,No salary provided
"May 15, 2015 at 10:03AM",Bhanu Soft Tech Pvt. Ltd. (BhanuSoft),http://www.linkedin.com/company/3812140,"Bengaluru Area, India",IN,Information Services,UI Developer,Point of Contact for CV’s / Email ID: Smitha - smitha.w@multirecruit.com - 9972696633.   Job Title / Designation: UI Developer Key Functions &amp; Roles of the Candidate: Ability to distill product requirements into functional requirements Coming up with a project plan and meeting set forth deadlines and milestones   Specific Skill Set:             In depth knowledge in PHP Expert knowledge about...,https://www.linkedin.com/jobs?viewJob=&jobId=62541939&trk=api*a130653*s139051*,No salary provided
"April 27, 2015 at 12:44PM",Fullerene Solutions,http://www.linkedin.com/company/1882347,"Bengaluru Area, India",IN,"Internet, Consumer Services, E-Learning",Full Stack Developer -CTO,"Introduction We are two IIT-Delhi graduates ( 2011 batch) looking to bring in a Technical Co-Founder to join us in our startup- eStudyCorner, iWantTutor, a QnA, Course, Research, Analytics and Tutorinrg Platform. The product ( Version -1 ) is ready, and is currently being used by 1000 students in Public Beta. It generates revenue as well.  What stage are we in ? The product - ( version 1) has been...",https://www.linkedin.com/jobs?viewJob=&jobId=46342739&trk=api*a130653*s139051*,No salary provided
"May 05, 2015 at 12:19PM",Qyk,http://www.linkedin.com/company/9219684,"Bengaluru Area, India",IN,Internet,Graphic Designer,"Responsible for the design and development of all print and web design materials, sales / promotional materials. - Create marketing communication assets from concept, through creation and to final production including e-mailers, infographics, print ads. - Understand brief from marketing and category teams and come up with designs. - Design Online Advertising Banners to be run across internet. - De...",https://www.linkedin.com/jobs?viewJob=&jobId=47177960&trk=api*a130653*s139051*,No salary provided
"May 06, 2015 at 11:50AM",7C Studio,http://www.linkedin.com/company/3765462,"Bengaluru Area, India",IN,Computer Software,Mobile Application Developer,"7C Studio is looking for a Senior Android/iOS Developer who is passionate about startups, building products and looking for an oppurtunity to solve hard core engineering problems.    Responsibilities  Design and build advanced applications for the Android/iOS platform Collaborate with the team to define, design and ship new features...",https://www.linkedin.com/jobs?viewJob=&jobId=61098171&trk=api*a130653*s139051*,No salary provided
"April 26, 2015 at 02:02PM",3i Molecular Solutions,http://www.linkedin.com/company/9376625,"Bengaluru Area, India",IN,Biotechnology,Product Specialist,"Designation: Product Specialist (Genomics) No. of positions available: 4 Job Locations: Positions available in Bangalore, Hyderabad, Kolkata and New Delhi. Job Description:  Effectively describes the process and value-added benefits of the clinical/research products/services to new and prospective clients.Stays abreast of trends in the marketplace to ensure the product's competitive position. Inte...",https://www.linkedin.com/jobs?viewJob=&jobId=59780182&trk=api*a130653*s139051*,No salary provided
"May 07, 2015 at 10:02AM",Teritree Technologies,http://www.linkedin.com/company/2518710,"Bengaluru Area, India",IN,Computer Software,Software Geek,"We are looking for software developers who are excited to get their hands on building our real time personalization platform using the latest technologies, and working directly with people who are veterans in building large scale platforms. As a software geek at Teritree you will be working on Data Analytics, Web and mobile applications, using Python, Mongo dB, Graph and other big data technologie...",https://www.linkedin.com/jobs?viewJob=&jobId=48337923&trk=api*a130653*s139051*,No salary provided
"May 05, 2015 at 12:19PM",Qyk,http://www.linkedin.com/company/9219684,"Bengaluru Area, India",IN,Internet,Graphic Designer,"Responsible for the design and development of all print and web design materials, sales / promotional materials. - Create marketing communication assets from concept, through creation and to final production including e-mailers, infographics, print ads. - Understand brief from marketing and category teams and come up with designs. - Design Online Advertising Banners to be run across internet. - De...",https://www.linkedin.com/jobs?viewJob=&jobId=47177960&trk=api*a130653*s139051*,No salary provided
"May 06, 2015 at 11:50AM",7C Studio,http://www.linkedin.com/company/3765462,"Bengaluru Area, India",IN,Computer Software,Mobile Application Developer,"7C Studio is looking for a Senior Android/iOS Developer who is passionate about startups, building products and looking for an oppurtunity to solve hard core engineering problems.    Responsibilities  Design and build advanced applications for the Android/iOS platform Collaborate with the team to define, design and ship new features...",https://www.linkedin.com/jobs?viewJob=&jobId=61098171&trk=api*a130653*s139051*,No salary provided
"April 26, 2015 at 02:02PM",3i Molecular Solutions,http://www.linkedin.com/company/9376625,"Bengaluru Area, India",IN,Biotechnology,Product Specialist,"Designation: Product Specialist (Genomics) No. of positions available: 4 Job Locations: Positions available in Bangalore, Hyderabad, Kolkata and New Delhi. Job Description:  Effectively describes the process and value-added benefits of the clinical/research products/services to new and prospective clients.Stays abreast of trends in the marketplace to ensure the product's competitive position. Inte...",https://www.linkedin.com/jobs?viewJob=&jobId=59780182&trk=api*a130653*s139051*,No salary provided
"May 07, 2015 at 10:02AM",Teritree Technologies,http://www.linkedin.com/company/2518710,"Bengaluru Area, India",IN,Computer Software,Software Geek,"We are looking for software developers who are excited to get their hands on building our real time personalization platform using the latest technologies, and working directly with people who are veterans in building large scale platforms. As a software geek at Teritree you will be working on Data Analytics, Web and mobile applications, using Python, Mongo dB, Graph and other big data technologie...",https://www.linkedin.com/jobs?viewJob=&jobId=48337923&trk=api*a130653*s139051*,No salary provided
"May 01, 2015 at 10:11AM",Browne & Mohan,http://www.linkedin.com/company/710087,"Bengaluru Area, India",IN,Management Consulting,Assistant and Associate consultants,"Both positions are general management in nature. The role involves working in all types of projects Browne &amp; Mohan consultants undertake, either long term business change projects or short-term assignments such as productivity, quality or branding projects. While business management degree with specialization in Operations, Finance or Marketing is a must, we are open to people with engineering...",https://www.linkedin.com/jobs?viewJob=&jobId=47169281&trk=api*a130653*s139051*,No salary provided
"April 29, 2015 at 02:06AM",INDELUST,http://www.linkedin.com/company/9259580,"Bengaluru Area, India",IN,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,No salary provided
"May 13, 2015 at 01:16AM",Eatlo,http://www.linkedin.com/company/9223226,"Bengaluru Area, India",IN,Internet,"Head, Digital Marketing",Eatlo is building the most hassle-free food delivery service ever. Founded by IITB/IIMA graduates in 2014 and is funded by awesome investors. We want you if you are someone who understands the value of technology and of executing at speed. Job Profile: Digital Marketing  Qualification:  - Engineering from a top tier college with 1 to 2 years of work experience.  - Exposure to Programming is a must...,https://www.linkedin.com/jobs?viewJob=&jobId=48976625&trk=api*a130653*s139051*,No salary provided
"April 27, 2015 at 09:46AM",Crossover.,http://www.linkedin.com/company/9308035,"Bengaluru Area, India",IN,Computer Software,Crossover Software Engineer - C#,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=46384554&trk=api*a130653*s139051*,No salary provided
"May 01, 2015 at 10:11AM",Browne & Mohan,http://www.linkedin.com/company/710087,"Bengaluru Area, India",IN,Management Consulting,Assistant and Associate consultants,"Both positions are general management in nature. The role involves working in all types of projects Browne &amp; Mohan consultants undertake, either long term business change projects or short-term assignments such as productivity, quality or branding projects. While business management degree with specialization in Operations, Finance or Marketing is a must, we are open to people with engineering...",https://www.linkedin.com/jobs?viewJob=&jobId=47169281&trk=api*a130653*s139051*,No salary provided
"April 29, 2015 at 02:06AM",INDELUST,http://www.linkedin.com/company/9259580,"Bengaluru Area, India",IN,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,No salary provided
"May 13, 2015 at 01:16AM",Eatlo,http://www.linkedin.com/company/9223226,"Bengaluru Area, India",IN,Internet,"Head, Digital Marketing",Eatlo is building the most hassle-free food delivery service ever. Founded by IITB/IIMA graduates in 2014 and is funded by awesome investors. We want you if you are someone who understands the value of technology and of executing at speed. Job Profile: Digital Marketing  Qualification:  - Engineering from a top tier college with 1 to 2 years of work experience.  - Exposure to Programming is a must...,https://www.linkedin.com/jobs?viewJob=&jobId=48976625&trk=api*a130653*s139051*,No salary provided
"April 27, 2015 at 09:46AM",Crossover.,http://www.linkedin.com/company/9308035,"Bengaluru Area, India",IN,Computer Software,Crossover Software Engineer - C#,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=46384554&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 04:30PM",Recruit.net,http://www.linkedin.com/company/2590402,"Bengaluru Area, India",IN,Internet,Web Crawling Front end Developer (Java/Linux/Mysql)," This job is based in Hong Kong - come work in one of the most exciting cities in the world    Join a team building a highly scalable multi threaded Java based web crawling engine. The ideal candidate should have a strong programming background and an understanding of what it takes to build high availability and high performance services dealing with large volumes of data. As a member of the team,...",https://www.linkedin.com/jobs?viewJob=&jobId=48953268&trk=api*a130653*s139051*,No salary provided
"May 07, 2015 at 03:40PM",Arrkay Talent Management Pvt Ltd,http://www.linkedin.com/company/2369073,"Bengaluru Area, India",IN,Automotive,Engine Transmission -Emotor Design," Design and Development of Engines, Preferably for Cars   •       Experience includes engine periphery parts, integration of an existing engine into a new car •        Experience includes core parts design and  development like Cylinder block, Cylinder head, Crankshaft, Connecting rod, Camshaft •        Experience in CAD is required and CAE is valued •        Know how of Engine simulation software...",https://www.linkedin.com/jobs?viewJob=&jobId=48386227&trk=api*a130653*s139051*,No salary provided
"May 12, 2015 at 04:30PM",Recruit.net,http://www.linkedin.com/company/2590402,"Bengaluru Area, India",IN,Internet,Web Crawling Front end Developer (Java/Linux/Mysql)," This job is based in Hong Kong - come work in one of the most exciting cities in the world    Join a team building a highly scalable multi threaded Java based web crawling engine. The ideal candidate should have a strong programming background and an understanding of what it takes to build high availability and high performance services dealing with large volumes of data. As a member of the team,...",https://www.linkedin.com/jobs?viewJob=&jobId=48953268&trk=api*a130653*s139051*,No salary provided
